,Unnamed: 0,Unnamed: 0.1,SAR EU,4G bands,Loudspeaker,Models,3G bands,2G bands,5G bands,Features,Announced,Size,OS,Single,Resolution,3.5mm jack,SAR,GPS,USB,CPU,Colors,Build,Radio,Technology,name,Card slot,Bluetooth,NFC,Status,Dimensions,Chipset,Triple,Speed,Type,Weight,Sensors,Video,WLAN,GPU,Internal,SIM,Price,Charging,Unnamed: 1,Quad,Protection,Dual,Display,Performance,Camera,Battery life,Audio quality,EDGE,GPRS,Music play,Stand-by,Talk time,Infrared port,Penta,Five
0,0,0,0.94 W/kg (head)     1.23 W/kg (body),"1, 2, 3, 5, 7, 8, 20, 28, 38, 40, 41",Yes,"SM-E426B, SM-E426B/DS",HSDPA 850 / 900 / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 5, 7, 8, 20, 28, 38, 41, 78, 79 SA/NSA/Sub6","LED flash, panorama, HDR","2021, September 29","6.6 inches, 104.9 cm2 (~82.1% screen-to-body ratio)","Android 11, One UI Core 3.1","8 MP, f/2.0, (wide)","1080 x 2408 pixels, 20:9 ratio (~400 ppi density)",Yes,0.47 W/kg (head),"Yes, with A-GPS, GLONASS, GALILEO, BDS","USB Type-C 2.0, USB On-The-Go",Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Matte Aqua, Matte Black","Glass front, plastic frame, plastic back","FM radio, recording",GSM / HSPA / LTE / 5G,Samsung Galaxy F42 5G,microSDXC (dedicated slot),"5.0, A2DP, LE",No,"Available. Released 2021, October 03",167.2 x 76.4 x 9 mm (6.58 x 3.01 x 0.35 in),MediaTek MT6833 Dimensity 700 5G (7 nm),"64 MP, f/1.8, (wide), PDAF
5 MP, f/2.2, 115˚ (ultrawide), 1/5.0"", 1.12µm
2 MP, f/2.4, (depth)","HSPA 42.2/5.76 Mbps, LTE-A, 5G","Li-Po 5000 mAh, non-removable",203 g (7.16 oz),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Mali-G57 MC2,"128GB 6GB RAM, 128GB 8GB RAM","Dual SIM (Nano-SIM, dual stand-by)",About 240 EUR,Fast charging 15W,,,,,,,,,,,,,,,,,
1,1,1,0.79 W/kg (head)     1.40 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",Yes,"SM-M526BR, SM-M526BR/DS, SM-M526B, SM-M526B/DS",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,SA/NSA/Sub6,"LED flash, panorama, HDR","2021, September 24","6.7 inches, 108.4 cm2 (~86.4% screen-to-body ratio)","Android 11, One UI 3.1","32 MP, f/2.2, (wide)","1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",No,,"Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS","USB Type-C 2.0, USB On-The-Go",Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670),"Icy Blue, Blazing Black, White",,Unspecified,GSM / HSPA / LTE / 5G,Samsung Galaxy M52 5G,microSDXC (uses shared SIM slot),"5.0, A2DP, LE",Yes,"Available. Released 2021, October 03",164.2 x 76.4 x 7.4 mm (6.46 x 3.01 x 0.29 in),Qualcomm SM7325 Snapdragon 778G 5G (6 nm),"64 MP, f/1.8, 26mm (wide), PDAF
12 MP, f/2.2, 123˚, (ultrawide)
5 MP, f/2.4, (macro)","HSPA 42.2/5.76 Mbps, LTE-A, 5G","Li-Ion 5000 mAh, non-removable",173 g (6.10 oz),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",Adreno 642L,"128GB 6GB RAM, 128GB 8GB RAM","Hybrid Dual SIM (Nano-SIM, dual stand-by)","£ 339.00 / € 415.72 / ₹ 25,999",Fast charging 25W,,,,,,,,,,,,,,,,,
2,0,0,0.62 W/kg (head)     1.24 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",Yes,"SM-M225FV, SM-M225FV/DS",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,"LED flash, panorama, HDR","2021, September 14","6.4 inches, 98.9 cm2 (~83.6% screen-to-body ratio)","Android 11, One UI Core 3.1","13 MP, f/2.2, (wide), 1/3.1"", 1.12µm","720 x 1600 pixels, 20:9 ratio (~274 ppi density)",Yes,,"Yes, with A-GPS, GLONASS, GALILEO, BDS",USB Type-C 2.0,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),"Black, White, Light Blue","Glass front, plastic frame, plastic back",Unspecified,GSM / HSPA / LTE,Samsung Galaxy M22,microSDXC (dedicated slot),"5.0, A2DP, LE",Yes,"Available. Released 2021, October 13",159.9 x 74 x 8.4 mm (6.30 x 2.91 x 0.33 in),Mediatek Helio G80 (12 nm),,"HSPA 42.2/5.76 Mbps, LTE-A","Li-Po 5000 mAh, non-removable",186 g (6.56 oz),"Fingerprint (side-mounted), unspecified sensors",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Mali-G52 MC2,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","Dual SIM (Nano-SIM, dual stand-by)",About 240 EUR,Fast charging 25W,eMMC 5.1,"48 MP, f/2.0, (wide), PDAF, OIS
8 MP, f/2.2, 123˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,
3,0,0,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41, 66",Yes,"SM-M326B, SM-M326B/DS",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 78 SA/NSA/Sub6","LED flash, panorama, HDR","2021, August 25","6.5 inches, 102.0 cm2 (~81.6% screen-to-body ratio)","Android 11, One UI 3.1","13 MP, f/2.2, (wide)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Yes,0.48 W/kg (head),"Yes, with A-GPS, GLONASS, BDS, GALILEO","USB Type-C 2.0, USB On-The-Go",Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),"Slate Black, Sky Blue",,Unspecified,GSM / HSPA / LTE / 5G,Samsung Galaxy M32 5G,microSDXC (uses shared SIM slot),"5.0, A2DP, LE, aptX",Yes,"Available. Released 2021, September 02",164.2 x 76.1 x 9.1 mm (6.46 x 3.00 x 0.36 in),MediaTek MT6853 Dimensity 720 5G (7 nm),,"HSPA 42.2/5.76 Mbps, LTE-A","Li-Ion 5000 mAh, non-removable",205 g (7.23 oz),"Fingerprint (side-mounted), accelerometer, gyro, compass",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot",Mali-G57 MC3,"128GB 6GB RAM, 128GB 8GB RAM","Hybrid Dual SIM (Nano-SIM, dual stand-by)","₹ 16,999",Fast charging 15W,Virtual proximity sensing,"48 MP, f/1.8, 26mm (wide), PDAF
8 MP, f/2.2, 123˚ (ultrawide)
5 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)",,,,,,,,,,,,,,,
4,1,1,0.36 W/kg (head)     1.09 W/kg (body),"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",Yes,"SM-A037F, SM-A037F/DS",HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,LED flash,"2021, August 18","6.5 inches, 102.0 cm2 (~81.8% screen-to-body ratio)","Android 11, One UI 3.1 Core","5 MP, f/2.2","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",Yes,,"Yes, with A-GPS, GLONASS, GALILEO, BDS",USB Type-C 2.0,Octa-core (4x2.35 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),"Black, Blue. White",,Unspecified,GSM / HSPA / LTE,Samsung Galaxy A03s,microSDXC (dedicated slot),"5.0, A2DP",No,"Available. Released 2021, August 18",164.2 x 75.9 x 9.1 mm (6.46 x 2.99 x 0.36 in),MediaTek MT6765 Helio P35 (12nm),"13 MP, f/2.2, (wide), AF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","Li-Po 5000 mAh, non-removable",196 g (6.91 oz),"Fingerprint (side-mounted), accelerometer, proximity",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",PowerVR GE8320,"32GB 3GB RAM, 64GB 4GB RAM","Dual SIM (Nano-SIM, dual stand-by)","$ 152.00 / £ 119.35 / € 156.00 / ₹ 10,998",Fast charging 15W,eMMC 5.1,,,,,,,,,,,,,,,,
5,2,2,0.88 W/kg (head)     0.84 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 32, 38, 40, 41, 66",-27.5 LUFS (Good),"SM-A528B, SM-A528B/DS",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),"1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 78 SA/NSA/Sub6",HDR,"2021, August 17","6.5 inches, 102.0 cm2 (~84.9% screen-to-body ratio)","Android 11, One UI 3.1","32 MP, f/2.2, 26mm (wide), 1/2.8"", 0.8µm","1080 x 2400 pixels, 20:9 ratio (~405 ppi density)",Yes,0.72 W/kg (head),"Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS","USB Type-C 2.0, USB On-The-Go",Octa-core (4x2.4 GHz Kryo 670 & 4x1.9 GHz Kryo 670),"Awesome Black, Awesome White, Awesome Purple, Awesome Mint","Glass front (Gorilla Glass 5), plastic back",Unspecified,GSM / HSPA / LTE / 5G,Samsung Galaxy A52s 5G,microSDXC (uses shared SIM slot),"5.0, A2DP, LE",Yes (market/region dependent),"Available. Released 2021, September 01",159.9 x 75.1 x 8.4 mm (6.30 x 2.96 x 0.33 in),Qualcomm SM7325 Snapdragon 778G 5G (6 nm),,"HSPA 42.2/5.76 Mbps, LTE-A (CA) Cat18 1200/150 Mbps, 5G","Li-Po 4500 mAh, non-removable",189 g (6.67 oz),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",Adreno 642L,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","$ 415.00 / £ 344.79 / € 370.00 / ₹ 30,700",Fast charging 25W,,"64 MP, f/1.8, 26mm (wide), 1/1.7"", 0.8µm, PDAF, OIS
12 MP, f/2.2, 123˚ (ultrawide), 1.12µm
5 MP, f/2.4, (macro)
5 MP, f/2.4, (depth)",Corning Gorilla Glass 5,,Contrast ratio: Infinite (nominal),"AnTuTu: 429675 (v8), 506432(v9)
GeekBench: 11060 (v4.4), 2801 (v5.1)
GFXBench: 28fps (ES 3.1 onscreen)",Photo / Video,Endurance rating 113h,,,,,,,,,
6,3,3,1.04 W/kg (head)     1.44 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 28, 30, 38, 39, 40, 41, 46, 48, 66, 71",-25.6 LUFS (Very good),"SM-F926B, SM-F926B/DS, SM-F926U, SM-F926U1, SM-F926W",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"2, 5, 25, 41, 66, 71, 260, 261 SA/NSA/Sub6/mmWave",HDR,"2021, August 11","7.6 inches, 179.9 cm2 (~88.8% screen-to-body ratio)","Android 11, One UI 3.1.1","4 MP, f/1.8, 2.0µm, under display
Cover camera:
10 MP, f/2.2, 26mm (wide), 1/3"", 1.22µm",1768 x 2208 pixels (~374 ppi density),No,0.73 W/kg (head)     1.22 W/kg (body),"Yes, with A-GPS, GLONASS, GALILEO, BDS",USB Type-C 3.2,Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),"Phantom Black, Phantom Silver, Phantom Green","Glass front (Gorilla Glass Victus) (folded), plastic front (unfolded), glass back (Gorilla Glass Victus), aluminum frame",No,GSM / CDMA / HSPA / EVDO / LTE / 5G,Samsung Galaxy Z Fold3 5G,No,"5.2, A2DP, LE, aptX HD",Yes,"Available. Released 2021, August 27","Unfolded: 158.2 x 128.1 x 6.4 mm
Folded: 158.2 x 67.1 x 14.4-16 mm",Qualcomm SM8350 Snapdragon 888 5G (5 nm),"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, Dual Pixel PDAF, OIS
12 MP, f/2.4, 52mm (telephoto), 1/3.6"", 1.0µm, PDAF, OIS, 2x optical zoom
12 MP, f/2.2, 123˚, 12mm (ultrawide), 1.12µm","HSPA 42.2/5.76 Mbps, LTE-A (7CA) Cat20 2000/200 Mbps, 5G","Li-Po 4400 mAh, non-removable",271 g (9.56 oz),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer","4K@30fps, 1080p@30fps, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot",Adreno 660,"256GB 12GB RAM, 512GB 12GB RAM",Nano-SIM and eSIM,"$ 1,799.99 / £ 1,553.99 / € 1,589.00 / ₹ 149,999","Fast charging 25W
Fast wireless charging 11W
Reverse wireless charging 4.5W",,,,,,"AnTuTu: 635918 (v8), 752218 (v9)
GeekBench: 12719 (v4.4), 3239 (v5.1)
GFXBench: 38fps (ES 3.1 onscreen)",Photo / Video,Endurance rating 75h,,,,,,,,,
7,4,4,0.86 W/kg (head)     1.58 W/kg (body),"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 18, 19, 20, 25, 26, 28, 30, 38, 39, 40, 41, 46, 48, 66, 71",-25.8 LUFS (Very good),"SM-F711B, SM-F711N, SM-F711U",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM 850 / 900 / 1800 / 1900,"2, 5, 25, 41, 66, 71, 260, 261 SA/NSA/Sub6/mmWave",HDR,"2021, August 11","6.7 inches, 101.5 cm2 (~84.7% screen-to-body ratio)","Android 11, One UI 3.1.1","10 MP, f/2.4, 26mm (wide), 1.22µm",1080 x 2640 pixels (~426 ppi density),No,,"Yes, with A-GPS, GLONASS, GALILEO, BDS","USB Type-C 2.0, USB On-The-Go",Octa-core (1x2.84 GHz Kryo 680 & 3x2.42 GHz Kryo 680 & 4x1.80 GHz Kryo 680),"Phantom Black, Green, Lavender, Cream, White, Pink, Gray","Plastic front, glass back (Gorilla Glass Victus), aluminum frame",No,GSM / CDMA / HSPA / EVDO / LTE / 5G,Samsung Galaxy Z Flip3 5G,No,"5.1, A2DP, LE",Yes,"Available. Released 2021, August 27","Unfolded: 166 x 72.2 x 6.9 mm
Folded: 86.4 x 72.2 x 15.9-17.1 mm",Qualcomm SM8350 Snapdragon 888 5G (5 nm),,"HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat20 2000/200 Mbps, 5G","Li-Po 3300 mAh, non-removable",183 g (6.46 oz),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",4K@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",Adreno 660,"128GB 8GB RAM, 256GB 8GB RAM","Nano-SIM, eSIM","$ 808.98 / £ 929.89 / € 979.99 / ₹ 82,990","Fast charging 15W
Fast wireless charging 10W
Reverse wireless charging 4.5W",,,,"12 MP, f/1.8, 27mm (wide), 1/2.55"", 1.4µm, Dual Pixel PDAF, OIS
12 MP, f/2.2, 123˚ (ultrawide), 1.12µm",Contrast ratio: Infinite (nominal),"AnTuTu: 596866 (v8) | 682223 (v9)
GeekBench: 3441 (v5.1)
GFXBench: 40fps (ES 3.1 onscreen)",Photo / Video,Endurance rating 69h,,,,,,,,,
8,5,5,,"1, 3, 5, 7, 8, 20",Yes,"SM-R880, SM-R890",HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,,"2021, August 11",1.4 inches,"Android Wear OS, One UI Watch 3",,450 x 450 pixels (~321 ppi density),No,,"Yes, with A-GPS, GLONASS, GALILEO, BDS",No,Dual-core 1.18 GHz Cortex-A55,"Black, Silver","Glass front (Gorilla Glass DX), stainless steel frame 316L or titanium frame",No,GSM / HSPA / LTE,Samsung Galaxy Watch4 Classic,No,"5.0, A2DP, LE",Yes,"Available. Released 2021, August 27",45.5 x 45.5 x 11 mm (1.79 x 1.79 x 0.43 in),Exynos W920 (5 nm),,"HSPA 42.2/5.76 Mbps, LTE","Li-Ion 361 mAh, non-removable","52 g (46mm), 46.5 g (42mm) (1.66 oz)","Accelerometer, gyro, heart rate, barometer",,"Wi-Fi 802.11 a/b/g/n, dual-band",Mali-G68,16GB 1.5GB RAM,eSIM,$ 375.98 / € 315.00,Qi wireless charging,"Natural language commands and dictation
Samsung Pay",,Corning Gorilla Glass DX,,,,,,,,,,,,,,
9,6,6,,"1, 3, 5, 7, 8, 20",Yes,"SM-R860, SM-R870",HSDPA 850 / 900 / 2100,GSM 850 / 900 / 1800 / 1900,,,"2021, August 11",1.4 inches,"Android Wear OS, One UI Watch 3",,450 x 450 pixels (~321 ppi density),No,,"Yes, with A-GPS, GLONASS, GALILEO, BDS",No,Dual-core 1.18 GHz Cortex-A55,"Black, Pink Gold, Silver, Green","Glass front (Gorilla Glass DX+), aluminum frame",No,GSM / HSPA / LTE,Samsung Galaxy Watch4,No,"5.0, A2DP, LE",Yes,"Available. Released 2021, August 27",44.4 x 43.3 x 9.8 mm (1.75 x 1.70 x 0.39 in),Exynos W920 (5 nm),,"HSPA 42.2/5.76 Mbps, LTE","Li-Ion 361 mAh, non-removable","30.3 g (44mm), 25.9 g (40mm) (1.06 oz)","Accelerometer, gyro, heart rate, barometer",,"Wi-Fi 802.11 a/b/g/n, dual-band",Mali-G68,16GB 1.5GB RAM,eSIM,$ 210.00 / € 233.00,Qi wireless charging,"Natural language commands and dictation
Samsung Pay",,Corning Gorilla Glass DX+,,,,,,,,,,,,,,
